#count number_of_seqs length_ofalignment
1 3244 771
2 3211 648
3 3188 545
4 3161 466
5 3149 476
6 3140 455
7 3125 501
8 3111 431
9 3106 419
10 3100 408
11 3096 428
12 3090 418
13 3085 383
14 3080 388
15 3076 373
16 3075 373
17 3074 373
18 3073 382
19 3071 388
20 3049 357
21 3047 331
22 3042 323
23 3040 358
24 3024 353
25 3017 326
26 3014 324
27 3011 321
28 3003 320
29 2997 312
30 2995 314
31 2993 309
32 2992 307
33 2976 300
34 2973 287
35 2970 291
36 2969 290
37 2963 282
38 2946 262
39 2943 259
40 2942 256
41 2940 284
42 2939 281
43 2938 282
44 2928 282
45 2927 280
46 2926 257
47 2924 265
48 2922 270
49 2913 265
50 2911 253
51 2909 256
52 2908 252
53 2898 251
54 2897 248
55 2893 242
56 2891 253
57 2889 240
58 2883 231
59 2881 233
60 2878 234
61 2876 251
62 2870 242
63 2865 240
64 2864 239
65 2852 289
66 2849 300
67 2847 299
68 2844 275
69 2841 286
70 2837 285
71 2832 271
72 2831 284
73 2827 262
74 2820 254
75 2814 262
76 2809 280
77 2803 236
78 2801 233
79 2794 226
80 2785 234
81 2765 274
82 2756 232
83 2751 231
84 2731 222
85 2729 223
86 2728 220
87 2725 217
88 2721 214
89 2719 213
90 2708 190
91 2703 186
92 2691 182
93 2688 190
94 2681 188
95 2680 195
96 2679 193
97 2676 193
98 2666 193
99 2659 195
100 2658 190
101 2657 190
102 2655 193
103 2652 180
104 2641 184
105 2640 188
106 2614 186
107 2601 191
108 2599 186
109 2597 188
110 2593 187
111 2567 189
112 2563 184
113 2544 185
114 2542 178
115 2522 177
116 2511 176
117 2509 176
118 2491 175
119 2463 174
120 2434 176
121 2433 174
122 2432 173
123 2400 180
124 2391 178
125 2318 180
126 2317 174
127 2312 170
128 2226 183
129 2225 182
130 2223 181
131 2222 179
132 2219 178
133 2210 175
134 2200 176
135 2078 175
136 1900 172
137 1899 170
138 1887 177
139 1886 174
140 1884 169
141 1724 168
142 1723 167
143 1719 166
144 1550 165
145 1503 164
146 1502 163
147 1348 170
148 1346 169
149 1344 169
150 1339 168
151 1333 165
152 1324 163
153 1280 162
154 1065 162
155 910 164
156 909 162
157 906 161
158 880 165
159 879 160
160 668 158
161 647 156
162 430 157
